structSirene;acronym;label;halStructId;rsnr;idRef
198307662;CDPC;Centre de droit et de politique comparés Jean-Claude Escarras;217754;201220257W;29431859
198307662;CDPC-OLD;Centre de droit et de politique comparés Jean-Claude Escarras;88816;201220257W;29431859
198307662;IM2NP;Institut des Matériaux de Microélectronique et des Nanosciences de Provence;199957;201220336G;146878353
198307662;CPT;Centre de physique théorique;179898;201220252R;74454935
198307662;IMATH;Institut de mathématiques de Toulon;68760;199613747P;154306878
198307662;BABEL;Laboratoire Babel;156602;199814163H;116357045
198307662;MIO;Institut méditerranéen d'océanologie;191652;201220349W;167663925
198307662;CERC;Centre d'études et de recherche sur les contentieux;14768;200014463A;59809329
198307662;LEAD;Laboratoire d'économie appliquée au développement;54812;200014462Z;87665972
198307662;COSMER;Laboratoire Conception des Systèmes Mécaniques et Robotiques;460236;;
198307662;IMSIC;Institut mediterranéen des sciences de l'information et de la communication;527028;527028;233736085
198307662;PROTEE;Processus de Transfert et d'Echanges dans l'Environnement;22032;200415079C;104632887
198307662;LIS;Laboratoire d'Informatique et Systèmes;527033;201822714R;234768002
198307662;LSIS;Laboratoire des Sciences de l'Information et des Systèmes;199402;201220329Z;150137125
198307662;I3M;Laboratoire Information Milieux Médias Médiations;6198;200415080D;105756938
198307662;IAPS;Impact de l'Activité Physique sur la Santé;558924;201723207F;24194693X
130015332;LIS;Laboratoire d'Informatique et Systèmes;527033;201822714R;234768002
130015332;LSIS;Laboratoire des Sciences de l'Information et des Systèmes;199402;201220329Z;150137125
130015332;IMSIC;Institut mediterranéen des sciences de l'information et de la communication;527028;527028;233736085
130015332;IM2NP;Institut des Matériaux de Microélectronique et des Nanosciences de Provence;199957;201220336G;146878353
130015332;CPT;Centre de physique théorique;179898;201220252R;74454935
198307662;CERGAM;Centre d'études et de recherche en gestion;108098;200818985F;163852405
198307662;MAPIEM;Laboratoire Matériaux Polymères Interfaces Environnement Marin;84790;200815553A;138030235
